Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,GPA
AAS,100,Intro Asian American Studies,818,2092,750,461,484,213,112,126,47,25,27,20,111,17,5286,3.52
AAS,105,Intro to Arab Am Studies,23,20,3,3,4,1,0,1,0,0,1,0,1,0,57,3.7
AAS,120,Intro to Asian Am Pop Culture,30,132,115,88,83,46,29,25,10,4,9,1,2,4,574,3.28
AAS,200,U.S. Race and Empire,33,82,42,24,12,10,2,1,1,1,3,1,5,0,217,3.55
AAS,211,Asian Americans and the Arts,3,20,12,2,4,3,2,1,0,3,0,0,2,0,52,3.33
AAS,215,US Citizenship Comparatively,59,94,44,33,17,16,6,8,5,5,3,2,5,1,297,3.46
AAS,246,Asian American Youth in Film,35,177,30,12,22,5,3,3,2,0,0,0,1,2,290,3.77
AAS,258,Muslims in America,11,98,43,7,0,3,1,0,2,0,1,1,1,1,168,3.76
AAS,287,Food and Asian Americans,38,131,8,15,7,4,3,0,0,0,0,0,3,1,209,3.8
AAS,315,"War, Memory, and Cinema",0,7,6,5,4,5,1,0,0,0,0,0,0,0,28,3.37
AAS,365,Asian American Media and Film,7,19,6,4,6,1,6,3,3,0,0,1,2,0,58,3.2
AAS,370,"Immigration, Law, and Rights",0,3,4,6,7,4,2,1,1,1,0,0,0,0,29,3.03
ABE,100,Intro Agric & Biological Engrg,0,372,3,7,98,0,2,14,0,1,8,0,7,0,512,3.63
ABE,127,Intro Agric & Biological Engr,10,18,3,2,0,0,1,1,0,0,0,0,0,0,35,3.83
ABE,141,ABE Principles: Biological,25,107,83,61,39,17,9,9,5,3,5,0,7,1,370,3.39
ABE,152,Water in Global Environment,307,207,3,11,18,2,4,4,0,1,3,0,14,2,574,3.81
ABE,199,Water in the Global Environ,12,55,0,2,1,0,0,0,0,0,0,0,0,0,70,3.97
ABE,221,Agric & Biological Engrg I,0,33,0,14,13,0,2,1,0,0,0,0,0,0,63,3.56
ABE,222,Agric & Biological Engrg II,3,17,19,15,19,8,1,6,2,4,0,0,2,0,96,3.14
ABE,223,ABE Principles: Machine Syst,15,266,50,29,69,15,12,20,2,3,6,4,0,1,491,3.53
ABE,224,ABE Principles: Soil & Water,72,304,39,62,46,1,7,14,4,1,6,0,9,4,565,3.63
ABE,225,ABE Principles: Bioenvironment,18,86,46,70,106,20,9,15,5,1,6,1,9,2,392,3.21
ABE,226,ABE Principles: Bioprocessing,44,76,79,56,51,31,16,14,9,2,2,3,10,1,393,3.25
ABE,232,Context Intl Interventions,41,55,24,15,6,4,5,2,2,0,1,0,1,3,156,3.66
ABE,341,Transport Processes in ABE,2,22,15,11,21,14,7,6,3,2,3,0,0,0,106,3.09
ABE,361,Off-Road Machine Design,2,14,11,4,3,4,1,4,0,0,0,1,3,0,47,3.16
ABE,425,Engrg Measurement Systems,37,246,20,41,37,6,6,6,0,0,0,0,1,0,400,3.74
ABE,430,Project Management,29,846,91,111,204,38,14,34,6,2,1,0,5,2,1381,3.64
ABE,436,Renewable Energy Systems,43,107,96,129,108,38,25,18,4,0,5,0,3,1,576,3.32
ABE,446,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,22,3.7
ABE,456,Land & Water Resources Engrg,0,35,1,2,4,0,0,1,0,0,0,0,0,0,43,3.82
ABE,457,NPS Pollution Processes,4,42,11,5,6,1,1,1,1,0,0,0,0,0,72,3.72
ABE,466,Engineering Off-Road Vehicles,12,58,78,49,35,22,14,10,3,0,3,0,3,0,287,3.32
ABE,469,Industry-Linked Design Project,17,162,131,61,46,18,3,2,1,0,0,0,0,0,441,3.62
ABE,483,Engrg Properties of Food Matls,0,16,0,0,6,0,0,2,0,0,0,0,0,0,24,3.58
ABE,488,Bioprocessing Biomass for Fuel,29,95,59,54,42,19,9,10,3,1,0,0,1,1,322,3.47
ABE,498,Special Topics,27,140,39,15,10,1,0,0,0,0,2,0,1,2,235,3.81
ABE,501,Graduate Research I,0,40,0,1,2,0,0,0,0,0,1,0,0,0,44,3.87
ABE,598,Autonomous Decision Making,3,13,5,3,1,0,0,0,0,0,0,0,0,1,25,3.81
ACCY,200,Fundamentals of Accounting,859,2476,1254,1067,994,712,559,395,239,108,112,54,57,13,8886,3.28
ACCY,201,Accounting and Accountancy I,1633,2243,1887,1490,1426,1164,775,644,483,126,390,123,365,109,12749,3.08
ACCY,202,Accounting and Accountancy II,966,2497,622,2094,2098,673,586,553,302,0,128,0,62,45,10581,3.24
ACCY,301,Atg Measurement & Disclosure,412,1198,1276,1132,999,510,239,178,75,39,31,12,35,14,6136,3.32
ACCY,302,Decision Making for Atg,345,1159,1335,1246,1044,519,224,93,49,19,17,8,14,13,6072,3.36
ACCY,303,Atg Institutions and Reg,617,1290,1034,917,714,393,228,171,107,54,47,57,38,16,5667,3.33
ACCY,304,Accounting Control Systems,275,1255,1043,1042,965,380,152,150,58,17,28,12,24,5,5401,3.36
ACCY,312,Principles of Taxation,320,1185,775,933,1096,458,180,197,44,16,29,7,25,30,5265,3.31
